材料番号,食品名,分量（g）,エネルギー（kcal）,タンパク質,脂質,炭水化物,食塩相当量
1,アマランサス玄穀,100.000000,343.000000,12.700000,6.000000,64.900000,0.000000
2,あわ精白粒,100.000000,346.000000,11.200000,4.400000,69.700000,0.000000
3,＜いも類＞（さといも類）さといも球茎生,30.000000,15.900000,0.450000,0.030000,3.930000,0.000000
4,（だいこん類）だいこん根皮なし生,30.000000,4.500000,0.120000,0.030000,1.230000,0.000000
5,（にんじん類）にんじん根皮なし生,10.000000,3.000000,0.080000,0.010000,0.870000,0.010000
6,ごぼう根生,10.000000,5.800000,0.180000,0.010000,1.540000,0.000000
7,（ねぎ類）根深ねぎ葉軟白生,10.000000,3.500000,0.140000,0.010000,0.830000,0.000000
8,＜いも類＞こんにゃく板こんにゃく精粉こんにゃく,10.000000,0.500000,0.010000,0.000000,0.230000,0.000000
9,＜畜肉類＞ぶた［大型種肉］ばら脂身つき生,20.000000,73.200000,2.880000,7.080000,0.020000,0.020000
10,（植物油脂類）調合油,1.200000,10.632000,0.000000,1.200000,0.000000,0.000000
11,＜調味料類＞（みそ類）豆みそ,14.000000,28.980000,2.408000,1.470000,2.030000,1.526000
12,＜調味料類＞（だし類）かつおだし荒節,200.000000,4.000000,0.800000,0.000000,0.000000,0.200000
13,＜いも類＞（さといも類）さといも球茎生,30.000000,15.900000,0.450000,0.030000,3.930000,0.000000
14,（だいこん類）だいこん根皮なし生,30.000000,4.500000,0.120000,0.030000,1.230000,0.000000
15,（にんじん類）にんじん根皮なし生,10.000000,3.000000,0.080000,0.010000,0.870000,0.010000
16,ごぼう根生,10.000000,5.800000,0.180000,0.010000,1.540000,0.000000
17,（ねぎ類）根深ねぎ葉軟白生,10.000000,3.500000,0.140000,0.010000,0.830000,0.000000
18,＜いも類＞こんにゃく板こんにゃく精粉こんにゃく,10.000000,0.500000,0.010000,0.000000,0.230000,0.000000
19,＜畜肉類＞ぶた［大型種肉］ばら脂身つき生,20.000000,73.200000,2.880000,7.080000,0.020000,0.020000
20,（植物油脂類）調合油,1.200000,10.632000,0.000000,1.200000,0.000000,0.000000
21,＜調味料類＞（みそ類）豆みそ,14.000000,28.980000,2.408000,1.470000,2.030000,1.526000
22,＜調味料類＞（だし類）かつおだし荒節,200.000000,4.000000,0.800000,0.000000,0.000000,0.200000
23,＜いも類＞（さといも類）さといも球茎生,30.000000,15.900000,0.450000,0.030000,3.930000,0.000000
24,（だいこん類）だいこん根皮なし生,30.000000,4.500000,0.120000,0.030000,1.230000,0.000000
25,（にんじん類）にんじん根皮なし生,10.000000,3.000000,0.080000,0.010000,0.870000,0.010000
26,ごぼう根生,10.000000,5.800000,0.180000,0.010000,1.540000,0.000000
27,（ねぎ類）根深ねぎ葉軟白生,10.000000,3.500000,0.140000,0.010000,0.830000,0.000000
28,＜いも類＞こんにゃく板こんにゃく精粉こんにゃく,10.000000,0.500000,0.010000,0.000000,0.230000,0.000000
29,＜畜肉類＞ぶた［大型種肉］ばら脂身つき生,20.000000,73.200000,2.880000,7.080000,0.020000,0.020000
30,（植物油脂類）調合油,1.200000,10.632000,0.000000,1.200000,0.000000,0.000000
31,＜調味料類＞（みそ類）豆みそ,14.000000,28.980000,2.408000,1.470000,2.030000,1.526000
32,＜調味料類＞（だし類）かつおだし荒節,200.000000,4.000000,0.800000,0.000000,0.000000,0.200000
合計,,,1139.036000,45.104000,39.920000,166.640000,5.268000
